participant,trial_index,gender,condition,perturbed,signed_shift_cents,perturb_dur_ms,baseline_f0_hz
P001,1,female,neg100,1,-100,202.7,160.40
P001,2,female,neg100,1,-100,202.7,165.45
P001,3,female,neg100,1,-100,202.7,167.11
P001,4,female,neg100,1,-100,202.7,167.00
P001,5,female,control,0,0,202.7,166.83
P001,6,female,control,0,0,202.7,172.14
P001,7,female,pos100,1,100,202.7,164.59
P001,8,female,pos100,1,100,202.7,166.64
P001,9,female,pos100,1,100,202.7,169.14
P001,10,female,control,0,0,202.7,169.17
P001,11,female,control,0,0,202.7,167.56
P001,12,female,control,0,0,202.7,165.67
P001,13,female,pos100,1,100,202.7,165.61
P001,14,female,neg100,1,-100,202.7,166.07
P001,15,female,pos100,1,100,202.7,171.70
P001,16,female,pos100,1,100,202.7,165.80
P001,17,female,neg100,1,-100,202.7,165.44
P001,18,female,neg100,1,-100,202.7,167.37
P001,19,female,pos100,1,100,202.7,176.31
P001,20,female,neg100,1,-100,202.7,164.88
P001,21,female,pos100,1,100,202.7,167.06
P001,22,female,control,0,0,202.7,168.20
P001,23,female,control,0,0,202.7,169.78
P001,24,female,neg100,1,-100,202.7,169.77
P001,25,female,neg100,1,-100,202.7,173.82
P001,26,female,pos100,1,100,202.7,176.44
P001,27,female,pos100,1,100,202.7,169.60
P001,28,female,neg100,1,-100,202.7,170.32
P001,29,female,control,0,0,202.7,171.80
P001,30,female,neg100,1,-100,202.7,169.65
P001,31,female,control,0,0,202.7,173.59
P001,32,female,neg100,1,-100,202.7,174.02
P001,33,female,pos100,1,100,202.7,170.33
P001,34,female,pos100,1,100,202.7,173.01
P001,35,female,pos100,1,100,202.7,172.71
P001,36,female,control,0,0,202.7,170.69
P001,37,female,control,0,0,202.7,172.87
P001,38,female,pos100,1,100,202.7,169.85
P001,39,female,control,0,0,202.7,167.90
P001,40,female,neg100,1,-100,202.7,176.88
P001,41,female,control,0,0,202.7,164.00
P001,42,female,control,0,0,202.7,165.78
P001,43,female,pos100,1,100,202.7,161.89
P001,44,female,control,0,0,202.7,165.61
P001,45,female,pos100,1,100,202.7,162.34
P001,46,female,pos100,1,100,202.7,162.46
P001,47,female,pos100,1,100,202.7,162.29
P001,48,female,neg100,1,-100,202.7,161.91
P001,49,female,neg100,1,-100,202.7,158.83
P001,50,female,control,0,0,202.7,164.50
P001,51,female,pos100,1,100,202.7,161.81
P001,52,female,control,0,0,202.7,159.58
P001,53,female,neg100,1,-100,202.7,163.76
P001,54,female,pos100,1,100,202.7,162.62
P001,55,female,neg100,1,-100,202.7,164.55
P001,56,female,pos100,1,100,202.7,164.76
P001,57,female,neg100,1,-100,202.7,160.35
P001,58,female,control,0,0,202.7,164.40
P001,59,female,neg100,1,-100,202.7,163.68
P001,60,female,neg100,1,-100,202.7,160.28
P001,61,female,pos100,1,100,202.7,162.50
P001,62,female,neg100,1,-100,202.7,163.30
