participant,trial_index,gender,condition,perturbed,signed_shift_cents,perturb_dur_ms,baseline_f0_hz
P001,1,female,neg100,1,-100,202.7,160.40
P001,2,female,neg100,1,-100,202.7,165.45
P001,3,female,neg100,1,-100,202.7,167.11
P001,4,female,neg100,1,-100,202.7,167.00
P001,5,female,control,0,0,202.7,166.83
P003,1,male,pos100,1,100,202.7,116.28
P003,2,male,control,0,0,202.7,117.35
P003,3,male,pos100,1,100,202.7,118.18
P003,4,male,neg100,1,-100,202.7,118.18
P003,5,male,neg100,1,-100,202.7,117.30
P005,1,female,neg100,1,-100,202.7,269.74
P005,2,female,neg100,1,-100,202.7,265.68
P005,3,female,neg100,1,-100,202.7,268.78
P005,4,female,pos100,1,100,202.7,271.34
P005,5,female,pos100,1,100,202.7,271.86
P006,1,male,control,0,0,202.7,121.42
P006,2,male,control,0,0,202.7,122.30
P006,3,male,control,0,0,202.7,122.52
P006,4,male,neg100,1,-100,202.7,121.78
P006,5,male,pos100,1,100,202.7,123.28
P007,1,male,neg100,1,-100,202.7,118.69
P007,2,male,pos100,1,100,202.7,119.04
P007,3,male,neg100,1,-100,202.7,120.49
P007,4,male,control,0,0,202.7,122.70
P007,5,male,pos100,1,100,202.7,122.31
P008,1,male,pos100,1,100,202.7,124.45
P008,2,male,control,0,0,202.7,118.12
P008,3,male,pos100,1,100,202.7,121.51
P008,4,male,neg100,1,-100,202.7,115.56
P008,5,male,neg100,1,-100,202.7,115.91
P009,1,female,pos100,1,100,202.7,282.15
P009,2,female,pos100,1,100,202.7,277.37
P009,3,female,neg100,1,-100,202.7,280.75
P009,4,female,pos100,1,100,202.7,277.53
P009,5,female,neg100,1,-100,202.7,274.99
P010,1,female,neg100,1,-100,202.7,223.51
P010,2,female,pos100,1,100,202.7,216.84
P010,3,female,pos100,1,100,202.7,223.75
P010,4,female,control,0,0,202.7,232.46
P010,5,female,control,0,0,202.7,225.25
P011,1,male,neg100,1,-100,202.7,114.27
P011,2,male,pos100,1,100,202.7,114.07
P011,3,male,control,0,0,202.7,115.57
P011,4,male,pos100,1,100,202.7,113.62
P011,5,male,neg100,1,-100,202.7,112.45
P012,1,female,neg100,1,-100,202.7,242.03
P012,2,female,pos100,1,100,202.7,242.32
P012,3,female,pos100,1,100,202.7,245.31
P012,4,female,pos100,1,100,202.7,246.09
P012,5,female,pos100,1,100,202.7,240.90
P013,1,female,neg100,1,-100,202.7,217.41
P013,2,female,neg100,1,-100,202.7,220.88
P013,3,female,pos100,1,100,202.7,212.88
P013,4,female,pos100,1,100,202.7,219.37
P013,5,female,pos100,1,100,202.7,213.09
P014,1,female,neg100,1,-100,202.7,311.92
P014,2,female,pos100,1,100,202.7,311.57
P014,3,female,neg100,1,-100,202.7,320.43
P014,4,female,control,0,0,202.7,318.92
P014,5,female,pos100,1,100,202.7,322.38
P015,1,female,pos100,1,100,202.7,231.11
P015,2,female,pos100,1,100,202.7,234.34
